DESC_APRESENTACAO;DIAS;UND;UF
715;B;2022-10-07;40.0;AL
716;B;2022-10-06;180.0;AM
717;B;2022-10-06;20.0;CE
718;B;2022-10-06;30.0;SC
719;B;2022-10-06;1510.0;PA
720;B;2022-10-04;0.0;AL
721;B;2022-10-03;10.0;ES
722;B;2022-10-03;110.0;SC
723;B;2022-10-02;40.0;MA
724;B;2022-07-20;20.0;ES
725;B;2022-07-13;90.0;PB
726;B;2022-07-09;0.0;AP
727;B;2022-07-19;70.0;AL
728;B;2022-07-12;480.0;PA
729;B;2022-07-15;160.0;MA
730;B;2022-07-05;100.0;MA
731;B;2022-07-02;60.0;RN
732;B;2022-07-30;60.0;SE
733;B;2022-07-28;60.0;AM
734;B;2022-07-11;740.0;SE
735;B;2022-07-06;120.0;AL
736;B;2022-07-26;910.0;PA
737;B;2022-07-24;210.0;PA
738;B;2022-07-05;510.0;PA
739;B;2022-07-07;430.0;PA
740;C;2022-05-12;20.0;RS
741;C;2022-05-02;810.0;PA
742;C;2022-05-25;30.0;RN
743;C;2022-06-04;150.0;PA
744;C;2022-05-23;30.0;PR
745;C;2022-05-27;80.0;PR
746;C;2022-06-09;10.0;SE
747;C;2022-06-07;530.0;SE
748;C;2022-06-02;50.0;PI
749;B;2022-09-30;190.0;CE
750;B;2022-09-29;0.0;RO
751;B;2022-09-28;70.0;MG
752;B;2022-09-27;160.0;PB
753;B;2022-09-29;50.0;SC
754;B;2022-09-28;0.0;RR
755;B;2022-08-26;80.0;SE
756;B;2022-08-13;20.0;PB
757;B;2022-08-08;40.0;RO
758;B;2022-09-05;160.0;SC
759;B;2022-08-30;160.0;SC
760;B;2022-08-03;110.0;PR
761;B;2022-09-18;190.0;PA
762;B;2022-08-31;1540.0;PA
763;B;2022-08-20;650.0;PA
